row_id,instruction,intent,category,flags,dup_group,split,is_representative,is_exact_duplicate
0,question about cancelling order {{Order Number}},cancel_order,ORDER,B,0,test,False,False
1,i have a question about cancelling oorder {{Order Number}},cancel_order,ORDER,BQZ,1,train,True,False
2,i need help cancelling puchase {{Order Number}},cancel_order,ORDER,BLQZ,2,val,True,False
3,I need to cancel purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,False
4,"I cannot afford this order, cancel purchase {{Order Number}}",cancel_order,ORDER,BCELN,4,train,True,False
5,can you help me cancel order {{Order Number}}?,cancel_order,ORDER,BI,5,train,False,False
6,"I can no longer afford order {{Order Number}}, cancel it",cancel_order,ORDER,BCLN,6,train,False,False
7,I am trying to cancel purchase {{Order Number}},cancel_order,ORDER,BL,7,test,False,False
8,I have got to cancel purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,False
9,i need help canceling purchase {{Order Number}},cancel_order,ORDER,BLQ,3,val,False,False
10,i dont know what to do to cancel order {{Order Number}},cancel_order,ORDER,BQ,5,train,False,False
11,I have a problem with cancelling purchase {{Order Number}},cancel_order,ORDER,BL,8,train,False,False
12,problem with canceling purchase {{Order Number}},cancel_order,ORDER,BL,9,train,False,False
13,can you help me canceling order {{Order Number}}?,cancel_order,ORDER,BI,10,train,True,False
14,help me canceling purchase {{Order Number}},cancel_order,ORDER,BLZ,3,val,False,False
15,can you help me cancel purchase {{Order Number}}?,cancel_order,ORDER,BIL,3,val,False,False
16,what do I have to do to cancel purchase {{Order Number}}?,cancel_order,ORDER,BIL,3,val,False,False
17,"I bought the same item twice, cancel order {{Order Number}}",cancel_order,ORDER,BCL,11,train,True,False
18,need help with canceling order {{Order Number}},cancel_order,ORDER,BQ,12,train,False,False
19,i want assistance canceling order {{Order Number}},cancel_order,ORDER,BQ,12,train,False,False
20,I'm trying to cancel order {{Order Number}},cancel_order,ORDER,BQ,13,train,True,False
21,i have problems with canceling order {{Order Number}},cancel_order,ORDER,BMQ,14,train,False,False
22,assistance with cancelling pucrhase {{Order Number}},cancel_order,ORDER,BLZ,15,train,True,False
23,need help with canceling purchase {{Order Number}},cancel_order,ORDER,BLQ,3,val,False,False
24,help cnceling order {{Order Number}},cancel_order,ORDER,BZ,16,val,True,False
25,i want assistance cancelling order {{Order Number}},cancel_order,ORDER,BQ,17,test,False,False
26,need assistance cancelling order {{Order Number}},cancel_order,ORDER,BQ,17,test,False,False
27,problem with cancelling order {{Order Number}},cancel_order,ORDER,B,18,train,False,False
28,assistnace cancelling order {{Order Number}},cancel_order,ORDER,BZ,19,test,True,False
29,have a problem with canceling order {{Order Number}},cancel_order,ORDER,BQ,14,train,True,False
30,i need help with canceling purchase {{Order Number}},cancel_order,ORDER,BLQ,3,val,False,False
31,assistance with cancelling pucrhase {{Order Number}},cancel_order,ORDER,BLZ,15,train,False,True
32,want assistance to cancel order {{Order Number}},cancel_order,ORDER,BQZ,5,train,False,False
33,i do not know how i can cancel purchase {{Order Number}},cancel_order,ORDER,BELQ,3,val,False,False
34,need assistance to cancel order {{Order Number}},cancel_order,ORDER,BQ,5,train,False,False
35,can you help me cancel purchase {{Order Number}}?,cancel_order,ORDER,BIL,3,val,False,True
36,I can no longer afford purchase {{Order Number}},cancel_order,ORDER,BLN,6,train,True,False
37,i need assistance canceling purchase {{Order Number}},cancel_order,ORDER,BLQ,3,val,False,False
38,I would like to cancel purchase {{Order Number}},cancel_order,ORDER,BLP,20,train,True,False
39,i do not want these article i try to cancel order {{Order Number}},cancel_order,ORDER,BCELNQZ,21,train,True,False
40,i need help to cancel purchase {{Order Number}},cancel_order,ORDER,BLQ,3,val,False,False
41,I have got to cancel purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,True
42,problems with cancelling order {{Order Number}},cancel_order,ORDER,BM,18,train,False,False
43,I need help canceling purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,False
44,assistance canceling purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,False
45,could ya help me cancel order {{Order Number}},cancel_order,ORDER,BIPQ,5,train,False,False
46,could you help me cancelling order {{Order Number}} ?,cancel_order,ORDER,BIPZ,22,val,True,False
47,cance order {{Order Number}},cancel_order,ORDER,BZ,5,train,False,False
48,assistance cancelling purchase {{Order Number}},cancel_order,ORDER,BL,23,train,False,False
49,assistance with canceling purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,False
50,canceling order {{Order Number}},cancel_order,ORDER,BK,12,train,False,False
51,how to cancel order {{Order Number}},cancel_order,ORDER,BIQ,5,train,False,False
52,help me cancelling purchase {{Order Number}},cancel_order,ORDER,BL,23,train,False,False
53,have a question about cancelling order {{Order Number}},cancel_order,ORDER,BQ,0,test,False,False
54,I can't afford purchase {{Order Number}},cancel_order,ORDER,BLN,24,val,True,False
55,assistance with canceling purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,True
56,"I ordered some item, cancel purchase {{Order Number}}",cancel_order,ORDER,BCL,25,train,True,False
57,i need help cancelling order {{Order Number}},cancel_order,ORDER,BQ,17,test,False,False
58,"I can't afford order {{Order Number}}, help me cancelling it",cancel_order,ORDER,BCLN,26,train,True,False
59,I do not know how I can cancel purchase {{Order Number}},cancel_order,ORDER,BEL,3,val,False,False
60,I try to cancel purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,False
61,problem with cancelling order {{Order Number}},cancel_order,ORDER,B,18,train,False,True
62,"I cannot pay for the last purchase I have made, cancel it",cancel_order,ORDER,BCELNV,27,val,True,False
63,help me cancelling purchase {{Order Number}},cancel_order,ORDER,BL,23,train,False,True
64,could you help me cancel purchase {{Order Number}}?,cancel_order,ORDER,BILP,3,val,False,False
65,I want to cancle purchase {{Order Number}},cancel_order,ORDER,BLZ,28,train,True,False
66,help me to cancel my last goddamn purchase,cancel_order,ORDER,BLWZ,29,train,True,False
67,I have a problem witrh cancelling purchase {{Order Number}},cancel_order,ORDER,BLZ,8,train,False,False
68,can uhelp me canceling order {{Order Number}},cancel_order,ORDER,BIQZ,12,train,False,False
69,problems with canceling purchase {{Order Number}},cancel_order,ORDER,BLM,9,train,False,False
70,I need assistancde cancelling order {{Order Number}},cancel_order,ORDER,BZ,30,val,True,False
71,"I bought some item, cancel order {{Order Number}}",cancel_order,ORDER,BCL,31,test,True,False
72,need help with cancelling order {{Order Number}},cancel_order,ORDER,BQ,17,test,False,False
73,"I can't pay for this item, can I cancel order {{Order Number}}?",cancel_order,ORDER,BCILN,32,train,False,False
74,I need help cacneling order {{Order Number}},cancel_order,ORDER,BZ,33,train,True,False
75,where could I cancel purchase {{Order Number}}?,cancel_order,ORDER,BILP,3,val,False,False
76,i bought some damn item help to cancep order {{Order Number}},cancel_order,ORDER,BCLQWZ,34,train,True,False
77,want assistance to cancel order {{Order Number}},cancel_order,ORDER,BQ,5,train,False,True
78,"I have got to cancel purchase {{Order Number}}, help me",cancel_order,ORDER,BCL,35,train,True,False
79,whag do i need to do to cancel order {{Order Number}},cancel_order,ORDER,BIQZ,36,train,True,False
80,I want assistance canceling order {{Order Number}},cancel_order,ORDER,B,12,train,False,False
81,I can no longer afford purchase {{Order Number}},cancel_order,ORDER,BLN,6,train,False,True
82,I want assistance to cancel purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,False
83,cancelling order,cancel_order,ORDER,BK,37,train,True,False
84,i want help cancelling purchase {{Order Number}},cancel_order,ORDER,BLQ,23,train,False,False
85,what do I have to do to cancel order {{Order Number}}?,cancel_order,ORDER,BI,5,train,False,False
86,can you help me to cancel purchase {{Order Number}}?,cancel_order,ORDER,BIL,3,val,False,False
87,I need help cancelling order {{Order Number}},cancel_order,ORDER,B,17,test,False,False
88,I do not know how I can cancel purchase {{Order Number}},cancel_order,ORDER,BEL,3,val,False,True
89,i want help to cancel purchase {{Order Number}},cancel_order,ORDER,BLQ,3,val,False,False
90,how do i cancel order {{Order Number}},cancel_order,ORDER,BIQ,5,train,False,False
91,"I bought some articles, help me to cancel order {{Order Number}}",cancel_order,ORDER,BCLM,38,train,False,False
92,need assistance cancelling order {{Order Number}},cancel_order,ORDER,BQ,17,test,False,True
93,where to cancel purchase {{Order Number}},cancel_order,ORDER,BILQ,3,val,False,False
94,I want help canceling order {{Order Number}},cancel_order,ORDER,B,12,train,False,False
95,I want help cancellkng purchase {{Order Number}},cancel_order,ORDER,BLZ,39,train,True,False
96,I need help with cancelling order {{Order Number}},cancel_order,ORDER,B,17,test,False,False
97,I want assistance to cancel order {{Order Number}},cancel_order,ORDER,B,5,train,False,False
98,I want assistance to cancel order {{Order Number}},cancel_order,ORDER,B,5,train,False,True
99,need assistance cancelling purchase {{Order Number}},cancel_order,ORDER,BLQ,23,train,False,False
100,where can I cancel order {{Order Number}}?,cancel_order,ORDER,BI,5,train,False,False
101,have problems with canceling order {{Order Number}},cancel_order,ORDER,BMQ,14,train,False,False
102,where can I cancel order {{Order Number}}?,cancel_order,ORDER,BI,5,train,False,True
103,I can no longer pay for order {{Order Number}},cancel_order,ORDER,BLN,40,train,True,False
104,I can't afford purchase {{Order Number}},cancel_order,ORDER,BLN,24,val,False,True
105,"I would like to cancel purchase {{Order Number}}, I need help",cancel_order,ORDER,BCLP,41,train,True,False
106,i do not know how to cancel order {{Order Number}},cancel_order,ORDER,BEQ,5,train,False,False
107,help with cancelling purchase {{Order Number}},cancel_order,ORDER,BL,23,train,False,False
108,i want help cancelling purchase {{Order Number}},cancel_order,ORDER,BLQ,23,train,False,True
109,"I can no longer afford order {{Order Number}}, help me cancel it",cancel_order,ORDER,BCLN,6,train,False,False
110,need assistance canceling order {{Order Number}},cancel_order,ORDER,BQ,12,train,False,False
111,I have problems with cancelling purchase {{Order Number}},cancel_order,ORDER,BLM,8,train,False,False
112,I want assistance canceling purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,False
113,would it be possible to cancel purchase {{Order Number}},cancel_order,ORDER,BILPQ,42,train,True,False
114,could you help me canceling purchase {{Order Number}}?,cancel_order,ORDER,BILP,43,train,True,False
115,I want help to cancel purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,False
116,help with cancelling purchase {{Order Number}},cancel_order,ORDER,BL,23,train,False,True
117,assistance with canceling purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,True
118,cance order {{Order Number}},cancel_order,ORDER,BZ,5,train,False,True
119,can uhelp me cancelling purchase {{Order Number}},cancel_order,ORDER,BILQ,23,train,False,False
120,how could icancel purchase {{Order Number}},cancel_order,ORDER,BILPQZ,44,train,True,False
121,i need assistance canceling order {{Order Number}},cancel_order,ORDER,BQ,12,train,False,False
122,i do not knwo how to cancel order {{Order Number}},cancel_order,ORDER,BEQZ,45,train,False,False
123,"I have ordered some article, cancel purchase {{Order Number}}",cancel_order,ORDER,BCELV,46,train,True,False
124,need to cancel purchase {{Order Number}},cancel_order,ORDER,BLQ,3,val,False,False
125,have problems with canceling purchase {{Order Number}},cancel_order,ORDER,BLMQ,9,train,False,False
126,i no longer want purchase {{Order Number}},cancel_order,ORDER,BLNQZ,47,val,False,False
127,want help to cancel purchase {{Order Number}},cancel_order,ORDER,BLQ,3,val,False,False
128,question about canceling order {{Order Number}},cancel_order,ORDER,B,48,train,False,False
129,is it possible to cancel purchase {{Order Number}} ?,cancel_order,ORDER,BILZ,49,train,False,False
130,have a question about cancelling order {{Order Number}},cancel_order,ORDER,BQ,0,test,False,True
131,I need assistance to cancel purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,False
132,I need assistance cancelling purchase {{Order Number}},cancel_order,ORDER,BL,23,train,False,False
133,help with canceling purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,False
134,I need help with canceling purchase {{Order Number}},cancel_order,ORDER,BL,3,val,False,False
135,iwant assistance canceling order {{Order Number}},cancel_order,ORDER,BQZ,50,test,False,False
136,have problems with canceling order {{Order Number}},cancel_order,ORDER,BMQZ,14,train,False,True
137,i wan help to cancel purchase {{Order Number}},cancel_order,ORDER,BLQZ,3,val,False,False
138,i need help cancelling puchase {{Order Number}},cancel_order,ORDER,BLQZ,2,val,False,True
139,I can no longer afford order {{Order Number}},cancel_order,ORDER,BLN,6,train,False,False
140,"I have got to cancel purchase {{Order Number}}, how do I do it?",cancel_order,ORDER,BCIL,35,train,False,False
141,i need help with canceling order {{Order Number}},cancel_order,ORDER,BQ,12,train,False,False
142,cancel purchase {{Order Number}},cancel_order,ORDER,BKL,3,val,False,False
143,assistance with canceling oreder {{Order Number}},cancel_order,ORDER,BZ,51,test,True,False
