row_id,instruction,intent,category,flags,dup_group
10955,watn assistance removing a standard account,delete_account,ACCOUNT,BLQZ,5498
11383,"I don't need the damn {{Account Type}} account, how can I close it?",delete_account,ACCOUNT,BCILW,5755
11511,where can I find information about {{Account Type}} account terminations?,delete_account,ACCOUNT,BILM,5815
4838,i do not know what i have to do to locate bill #00108,check_invoice,INVOICE,BELQ,2424
21278,"I cannot open a user account, can I report a sign-up error?",registration_problems,ACCOUNT,BCEILN,11491
5246,can you help me checking wha payment options you accept?,check_payment_methods,PAYMENT,BILZ,2656
2741,i have an issue trying to change my shipping address,change_shipping_address,SHIPPING,BQ,855
7811,I'm trying to file a consumer claim against ur business,complaint,FEEDBACK,BLQ,3819
14042,modifying ddetails on gold account,edit_account,ACCOUNT,BKLMZ,7069
23762,can ya help me to set my shippiong address up,set_up_shipping_address,SHIPPING,BILQZ,13069
8670,I don't know how I can speak wih customer service,contact_customer_service,CONTACT,BLZ,4233
15766,i lost the invoicesfrom {{Person Name}} mail them to me,get_invoice,INVOICE,BCLMQZ,7937
22307,"I want to submit my feedback for your products, help me",review,FEEDBACK,BCL,12198
25056,i want help to track purchase00123842,track_order,ORDER,BLQZ,13581
7848,can you help me making a claim against your company?,complaint,FEEDBACK,BIL,3834
8591,tell me at what time customer service available is,contact_customer_service,CONTACT,B,3885
25985,how to see the current status of my compensation?,track_refund,REFUND,BIL,13854
24911,I need assistance seeing purchase {{Order Number}} bloody status,track_order,ORDER,BLW,13534
19477,how can i earn several of urarticle,place_order,ORDER,BILMQZ,10085
20323,have a problem with my kiey reset,recover_password,ACCOUNT,BLQZ,10788
16625,where to request compensations of money?,get_refund,REFUND,BILM,8467
22729,want help to submit some feedback about your services,review,FEEDBACK,BLQ,12492
1486,how can I switch an item of order {{Order Number}}?,change_order,ORDER,BIL,500
22475,how can i send my feedback about ur services,review,FEEDBACK,BILQ,11954
22069,can ya help me submit feedback about ur company,review,FEEDBACK,BILQ,12014
15952,help me request a compensation of money,get_refund,REFUND,BL,8033
15992,"I paid {{Currency Symbol}}{{Refund Amount}} for this item, help me get a refund",get_refund,REFUND,BCLM,8072
10091,"I ain't registered, help opening a standard account with you",create_account,ACCOUNT,BCL,5063
16322,could ya help me get a rebate of money,get_refund,REFUND,BILPQ,8296
19106,can uhelp me to buy some items,place_order,ORDER,BIMQ,9788
7118,i have to make a reclamation,complaint,FEEDBACK,BLQ,3473
2869,i need supports updaing the damn address,change_shipping_address,SHIPPING,BLMQWZ,1343
8961,could uhelp me chat with somebody,contact_human_agent,CONTACT,BILPQ,4369
12168,can you help me to see what shipment methods I can choose?,delivery_options,DELIVERY,BILM,6154
6922,assistance to file a reclamation,complaint,FEEDBACK,BL,3328
22888,what do I have to do to enter my new shipping address?,set_up_shipping_address,SHIPPING,BIL,12597
26470,"I have to check my reimbursement status, how could I do it?",track_refund,REFUND,BCILP,14034
10834,new platinum acount,create_account,ACCOUNT,BKLZ,5427
25009,how can i tfack purchase {{Order Number}},track_order,ORDER,BILQZ,13565
8017,"I have got to call customer service, how to do it?",contact_customer_service,CONTACT,BCIL,3942
14292,cnange info on standard account,edit_account,ACCOUNT,BKLQZ,7251
4546,is it possible to check invoice #37777,check_invoice,INVOICE,BIQ,2290
11325,close premium account,delete_account,ACCOUNT,BKL,5708
6013,need to check in which cases can i request an reimbursement,check_refund_policy,REFUND,BLQZ,2973
11158,remove {{Account Type}} accoint,delete_account,ACCOUNT,BKLZ,5632
21758,"I can't open a profile, I need help to report sign-up errors",registration_problems,ACCOUNT,BCLMN,11775
14382,editdata on platinum account,edit_account,ACCOUNT,BKLZ,7312
21175,I do not know how to report a signup error,registration_problems,ACCOUNT,BEL,11382
1392,correcting order {{Order Number}},change_order,ORDER,BL,363
18541,i cant make payments help to report issues with payments,payment_issue,PAYMENT,BCMQ,9388
1645,I'm trying to swap an item of purchase {{Order Number}},change_order,ORDER,BLQ,567
13630,I have to check when my package is going to arrive,delivery_period,DELIVERY,BL,6509
21548,notifying of error opening user profile,registration_problems,ACCOUNT,BKL,11652
16144,help me obtaining a rebate of money,get_refund,REFUND,BL,8191
16895,i try to unsubscribe to ur companu newsletter,newsletter_subscription,SUBSCRIPTION,BLQZ,8614
11332,i need assistance to remove the platinum account,delete_account,ACCOUNT,BLQ,5487
8927,I need to contct an operator,contact_human_agent,CONTACT,BLZ,4336
19254,I want help to order an article,place_order,ORDER,BL,9920
2788,I don't know what to do to correct my shipping address,change_shipping_address,SHIPPING,BL,1296
12910,wanna know about the delivery period,delivery_period,DELIVERY,BMQ,6426
10611,where do I create a {{Account Category}} account?,create_account,ACCOUNT,BI,4932
21062,I have got to notify of aproblem with signup,registration_problems,ACCOUNT,BLZ,11337
3767,I can't find anything about the termination penalty,check_cancellation_fee,CANCEL,BL,1843
19748,I don't know how I could order something,place_order,ORDER,BLP,10306
1552,i need help to delete some products from order {{Order Number}},change_order,ORDER,BLMQ,531
7731,filing consumer reclamation against your business,complaint,FEEDBACK,BL,3644
16549,where can I obtain reimbursements of money?,get_refund,REFUND,BILM,8425
19914,how do I retrieve the access key of my user account?,recover_password,ACCOUNT,BIL,10423
21796,I cannot report a problem with signup,registration_problems,ACCOUNT,BELN,11798
11909,where do I check what damn shipment options are available?,delivery_options,DELIVERY,BILMW,5994
15295,want heop downloading the bill from {{Person Name}},get_invoice,INVOICE,BLQZ,7787
19263,assistance to order some of ur item,place_order,ORDER,BLMQZ,9928
11797,how can i get information about a freemium account deletion,delete_account,ACCOUNT,BILQ,5862
13558,how could I check how long it takes for the item to arrive?,delivery_period,DELIVERY,BILP,6795
1045,can I delete some articles from order {{Order Number}}?,change_order,ORDER,BILM,233
13581,I want to check how long the shipping takes,delivery_period,DELIVERY,BL,6548
17938,"the payment failed, I want to notify of issues",payment_issue,PAYMENT,BCLM,8991
12119,I try to check what shipping methods I can choose,delivery_options,DELIVERY,BLM,6022
13887,how do I check when my package is going to arrive?,delivery_period,DELIVERY,BIL,6539
18298,want help reporting bloody troubles with payments,payment_issue,PAYMENT,BLMQW,9252
23900,i want assistance switching to the pro account,switch_account,ACCOUNT,BQ,13140
21324,I am experiencing an issue with the signup,registration_problems,ACCOUNT,BEL,11519
10155,wanna know more about opening freemium accounts,create_account,ACCOUNT,BLMQ,5101
24036,using gold accouny,switch_account,ACCOUNT,BKZ,13223
11249,I need assistance to remove my {{Account Type}} account,delete_account,ACCOUNT,BL,5674
10102,I need information about opening premium accounts,create_account,ACCOUNT,BLM,5071
20383,is it possible to reset my account PIN code?,recover_password,ACCOUNT,BIL,10836
4313,I don't know what I have to do to look for my invoice #12588,check_invoice,INVOICE,BL,2176
3771,I can't find the termination fees,check_cancellation_fee,CANCEL,BLM,1847
18022,i cannot pay i have to report goddamn payment issues,payment_issue,PAYMENT,BCEMQW,9063
1212,how to switch some items of purchase {{Order Number}}?,change_order,ORDER,BILM,296
9983,problem with creating a gold account,create_account,ACCOUNT,B,4988
11292,can you help me closing a standard account?,delete_account,ACCOUNT,BIL,5700
21258,I am trying to inform of a problem with a signup,registration_problems,ACCOUNT,BL,11478
20454,"I lost the access key of my user profile, help to recover it",recover_password,ACCOUNT,BCL,10893
4542,i dont know how to see the invoice #12588,check_invoice,INVOICE,BLQ,2287
20374,I need sasistance recovering the PIN of my profile,recover_password,ACCOUNT,BLZ,10829
24181,use pro acdcount,switch_account,ACCOUNT,BKZ,13286
15140,"I lost the bills from {{Person Name}}, mail them to me",get_invoice,INVOICE,BCLM,7736
18636,is it possible to report errors with payments?,payment_issue,PAYMENT,BILM,9443
8344,"I need to contact customer service, hoow can I do it?",contact_customer_service,CONTACT,BCIZ,4109
21528,I do not know how I can inform of an error with signjp,registration_problems,ACCOUNT,BELZ,11638
12519,I do not know what to do to check the options for shipment,delivery_options,DELIVERY,BEL,6294
2483,waht assistance changing the address,change_shipping_address,SHIPPING,BLQZ,1110
