row_id,instruction,intent,category,flags,dup_group
5939,i have got to check ur money back guarantee how do i do it,check_refund_policy,REFUND,BCILQ,2975
17445,how do I cancel my corporate newsletter subscription?,newsletter_subscription,SUBSCRIPTION,BIL,8629
13401,where can I see how soon can I expect my item?,delivery_period,DELIVERY,BIL,6687
25371,I want help seeing purchase {{Order Number}} status,track_order,ORDER,BL,13522
4479,"I want to see my invoice #37777, I need assistance",check_invoice,INVOICE,BCL,2257
10429,"I do not have a bloody pro account, need help to open one",create_account,ACCOUNT,BCELNQW,5252
14107,correct data on standard account,edit_account,ACCOUNT,BKL,7122
17719,help me subscribing to the newsletter,newsletter_subscription,SUBSCRIPTION,BL,8809
19602,I do not know how to buy several articles,place_order,ORDER,BELM,9661
18566,where can I notify of troubles with payments?,payment_issue,PAYMENT,BILM,9091
24535,how can I switch to the {{Account Type}} account?,switch_account,ACCOUNT,BI,13125
3822,I cannot find anything about the termination charges,check_cancellation_fee,CANCEL,BELM,1418
9577,i dont know what to do to speak to somebody,contact_human_agent,CONTACT,BLQ,4750
11889,i want information about the deletion of my gold accounnt,delete_account,ACCOUNT,BLQZ,5979
6993,I try to file a complaint against your company,complaint,FEEDBACK,BL,3345
8170,I have to check what hours I can reach customer assistance,contact_customer_service,CONTACT,BL,3888
120,how could icancel purchase {{Order Number}},cancel_order,ORDER,BILPQZ,44
4510,would it be possible to lolok for my bill #12588,check_invoice,INVOICE,BILPQZ,2272
7303,I want help lodging a consumer reclamation,complaint,FEEDBACK,BL,3588
18316,i need help to solve an error with online payments,payment_issue,PAYMENT,BLMQ,9161
8750,I have got to contact customer assistance,contact_customer_service,CONTACT,BL,4108
8112,wanna see at what time i can reach customer support,contact_customer_service,CONTACT,BLQ,3932
3236,want help to see the cancellation fees,check_cancellation_fee,CANCEL,BLMQ,1587
17592,I want assistance to receive your corporate newsletter,newsletter_subscription,SUBSCRIPTION,BL,8652
18252,want assistance solving an problem with payments,payment_issue,PAYMENT,BLMQZ,9227
20167,I need help retrieving my goddamn account password,recover_password,ACCOUNT,BLW,10654
21984,is there a section to submit feedback for your company?,review,FEEDBACK,BIL,11941
15279,I don't know what I need to do to download my invoice #00108,get_invoice,INVOICE,BL,7623
13387,i try to check how soon can i expect my article,delivery_period,DELIVERY,BLQ,6419
26389,assistance to check the reimbursement status,track_refund,REFUND,BL,14006
20225,I need to reset the password of my user profile,recover_password,ACCOUNT,BL,10688
9856,ya arent helpful at all how can i chat with somebody,contact_human_agent,CONTACT,BCILQ,4904
3863,i want assistance seeing thw termination penalties,check_cancellation_fee,CANCEL,BLMQZ,1883
22812,"I need to leave an opinion, can I get some help?",review,FEEDBACK,BCIL,12548
16512,how can I get refunds of my money?,get_refund,REFUND,BIM,8407
5471,how do I see your allowed payment optgions?,check_payment_methods,PAYMENT,BILZ,2758
2761,there are troubles trying to modify my dfelivery address,change_shipping_address,SHIPPING,BLMZ,1277
25285,i want assistance to see the eta of the ordder {{Order Number}},track_order,ORDER,BLQZ,13519
25618,"I have got to track purchase {{Order Number}}, how can I do it?",track_order,ORDER,BCIL,13703
19370,I don't know how to buy some articles,place_order,ORDER,BLM,10021
25001,where can i check the bloody eta of order {{Order Number}},track_order,ORDER,BIQW,13561
4979,can you help me checking the allowed payment modalities ?,check_payment_methods,PAYMENT,BILZ,2514
21235,I don't know how I could notify of a problem with a sign-up,registration_problems,ACCOUNT,BLP,11464
6921,i need hepl to lodge a consumer reclamation,complaint,FEEDBACK,BLQZ,3327
19506,I want help to shop several products,place_order,ORDER,BLM,10025
17129,"I need to unsubscribe from the fucking newsletter, help me",newsletter_subscription,SUBSCRIPTION,BCLW,8721
11450,i have a question about the termination of a standard acount,delete_account,ACCOUNT,BLQZ,5618
22972,I do not know what I need to do to set up a delivery address,set_up_shipping_address,SHIPPING,BEL,12594
12458,I need to check what shipment methods I have,delivery_options,DELIVERY,BLM,6182
21333,I'm trying to report a probloem with a fucking signup,registration_problems,ACCOUNT,BLQWZ,11524
25592,help seeing purchase {{Order Number}} current status,track_order,ORDER,BL,13520
6711,could i see in what cases can i request refundcs,check_refund_policy,REFUND,BILPQZ,3265
14096,updating data on standard account,edit_account,ACCOUNT,BL,7113
14109,mldifying {{Account Type}} account,edit_account,ACCOUNT,BKLZ,7124
13719,"I have to see when will my product arrive, can you help me?",delivery_period,DELIVERY,BCIL,6863
25564,when will I receive ordered {{Order Number}} ?,track_order,ORDER,BIZ,13642
1116,want help deleting something from order {{Order Number}},change_order,ORDER,BLQ,299
9784,can ya help me talk with a human agent,contact_human_agent,CONTACT,BILQ,4383
5528,can you help me to see your allowed payment modalities?,check_payment_methods,PAYMENT,BIL,2755
4874,I don't know what to do to find the bills from {{Person Name}},check_invoice,INVOICE,BLMZ,2443
16801,assistance to request rebates,get_refund,REFUND,BLM,8565
19947,can I reset the key of my user profile?,recover_password,ACCOUNT,BIL,10455
6634,how do I see your reimbursement policy?,check_refund_policy,REFUND,BIL,2962
22142,can uhelp me leaving feedback about ur company,review,FEEDBACK,BILQ,12071
4736,see the bills frmo {{Person Name}},check_invoice,INVOICE,BLMZ,2378
13705,I want to see how soon can I expect my item,delivery_period,DELIVERY,BL,6857
18800,I have to report a problem with payments,payment_issue,PAYMENT,BLM,9029
19036,how can I purchase several of your article?,place_order,ORDER,BILM,9721
11569,I don't know what I have to do to close the {{Account Type}} account,delete_account,ACCOUNT,BL,5476
14413,editing data on pro account,edit_account,ACCOUNT,BL,7332
22912,support submitting a new delivery address,set_up_shipping_address,SHIPPING,BL,12617
123,"I have ordered some article, cancel purchase {{Order Number}}",cancel_order,ORDER,BCELV,46
7211,what do I need to do to file a consumer claim?,complaint,FEEDBACK,BIL,3534
26396,"I would like to track the reimbursement, how could I do it?",track_refund,REFUND,BCILP,14010
5786,help me checking the accepted payment modalities,check_payment_methods,PAYMENT,BL,2479
6644,"I want to check your reimbursement policy, help me",check_refund_policy,REFUND,BCL,2996
1391,I am trying to add an article to order {{Order Number}},change_order,ORDER,BL,466
3264,how can I checkthe cancellation charges?,check_cancellation_fee,CANCEL,BILMZ,1610
9177,how to talk to a fucking person?,contact_human_agent,CONTACT,BILW,4531
19786,assistance to shop a few of your item,place_order,ORDER,BLM,10218
8521,help me to talk to customer support,contact_customer_service,CONTACT,BL,3915
1042,i have got to add something to oprder {{Order Number}},change_order,ORDER,BQZ,244
10843,assistance with opening a standard account,create_account,ACCOUNT,BL,5297
14392,modifying premium account,edit_account,ACCOUNT,BKL,7192
20279,need to retrioeve my pin,recover_password,ACCOUNT,BLQZ,10750
11759,"I don't want my {{Account Type}} account, how could I close it?",delete_account,ACCOUNT,BCILP,5917
17576,I want assistance to receive your newsletter,newsletter_subscription,SUBSCRIPTION,BL,8818
17142,i need assistance to subwcribe to ur newsletter,newsletter_subscription,SUBSCRIPTION,BLQZ,8726
8344,"I need to contact customer service, hoow can I do it?",contact_customer_service,CONTACT,BCIZ,4109
8824,how can I check at what time I can call customer service?,contact_customer_service,CONTACT,BIL,3930
5757,I don't know how I can see your accepted paymentg options,check_payment_methods,PAYMENT,BLZ,2890
11048,"I don't want my user account, help cancelling it",delete_account,ACCOUNT,BCL,5565
12425,can ya help me checking what methds for delivery ya offer,delivery_options,DELIVERY,BILMQZ,6265
23189,issue entering another shipping address,set_up_shipping_address,SHIPPING,BL,12805
20421,need help ot recover the pin of my user,recover_password,ACCOUNT,BLQZ,10867
19398,I do not know what to do to acquire a few of your product,place_order,ORDER,BELM,9620
13177,I want to check how long the shipment takes,delivery_period,DELIVERY,BL,6623
105,"I would like to cancel purchase {{Order Number}}, I need help",cancel_order,ORDER,BCLP,41
1972,i missed a fucking product in purchase {{Order Number}},change_order,ORDER,BLQW,713
20751,how to reset the damn password of my user?,recover_password,ACCOUNT,BILW,11113
