row_id,instruction,intent,category,flags,dup_group
23310,wanna enter my shipping address,set_up_shipping_address,SHIPPING,BLQ,12862
13946,modify {{Account Type}} account,edit_account,ACCOUNT,BKL,6985
7508,i try to lodge a reclamation against ur business,complaint,FEEDBACK,BLQ,3359
3044,what is the early exit penalty,check_cancellation_fee,CANCEL,BILQ,1433
14078,change information on platinum account,edit_account,ACCOUNT,BKL,7098
17266,how can I cancel my subscription to your neswletter?,newsletter_subscription,SUBSCRIPTION,BILZ,8775
21827,how to inform of an issue wsith a sign-up?,registration_problems,ACCOUNT,BILZ,11813
8993,I want help to contact an assistant,contact_human_agent,CONTACT,BL,4396
18755,troubles with payments,payment_issue,PAYMENT,BKLM,9511
7406,lodging reclamation against ur business,complaint,FEEDBACK,BLQ,3641
2647,have problems with a shipping address update,change_shipping_address,SHIPPING,BLMQ,1212
16864,can you help me to receive a refund?,get_refund,REFUND,BIL,8602
5433,where can i check the allowed payment modalities,check_payment_methods,PAYMENT,BILQ,2470
6138,I try to see in what cases can I request a refund,check_refund_policy,REFUND,BL,2956
3503,i do not know what to do to check the termination penalty,check_cancellation_fee,CANCEL,BELQ,1730
645,"I can't afford this item, I try to cancel order {{Order Number}}",cancel_order,ORDER,BCLN,151
21933,i need assistance writing a review for ur products,review,FEEDBACK,BLQ,11895
4920,could you help me check what payment options are available?,check_payment_methods,PAYMENT,BILP,2463
7000,I'm dissatisfied with ur work help me making a complaint,complaint,FEEDBACK,BCLQ,3394
22599,I don't know how I could submit feedback for your company,review,FEEDBACK,BLP,12405
19736,buy artilce,place_order,ORDER,BKLZ,10298
5595,could i check ur accepted payment modalities,check_payment_methods,PAYMENT,BILPQZ,2479
8806,i dont know how i can speak to customer support,contact_customer_service,CONTACT,BLQ,3990
3766,I want help to see the early exit fees,check_cancellation_fee,CANCEL,BLM,1538
16934,assistance cancelling the subscription to ur newsletter,newsletter_subscription,SUBSCRIPTION,BLQ,8633
5732,help me to see the accepted payment modalities,check_payment_methods,PAYMENT,BL,2479
1969,ineed help adding an item to order {{Order Number}},change_order,ORDER,BQZ,710
14696,update information on platinum account,edit_account,ACCOUNT,BKL,7500
8073,how to see at what time I can contact customer service?,contact_customer_service,CONTACT,BIL,3896
18636,is it possible to report errors with payments?,payment_issue,PAYMENT,BILM,9443
4714,checking invoice #85632,check_invoice,INVOICE,BK,2366
8044,can I see at what time I can contact customer support?,contact_customer_service,CONTACT,BIL,3960
21255,help to report issues with an sign-up,registration_problems,ACCOUNT,BLMZ,11476
20805,need assistance recovering the PIN code of my account,recover_password,ACCOUNT,BLQ,10634
12186,how to see the methods for delivery,delivery_options,DELIVERY,BILQ,6164
24731,I need help to switcdh to the freemium account,switch_account,ACCOUNT,BZ,13480
6289,I need help checking in what cases can I ask for a refund,check_refund_policy,REFUND,B,3132
8413,"I need to call customer assistance, how could I do it?",contact_customer_service,CONTACT,BCILP,4133
8359,can you help me speaking with customer service?,contact_customer_service,CONTACT,BIL,4112
11246,question about my {{Account Type}} account cancellation,delete_account,ACCOUNT,BL,5652
14144,I don't know how I could edit my bloody account,edit_account,ACCOUNT,BPW,7152
6917,I'm not happy with ur service need help to file a complaint,complaint,FEEDBACK,BCEQ,3323
22428,can ya help me send feedback for ur products,review,FEEDBACK,BILQ,12288
8446,i have got to talk to customer support,contact_customer_service,CONTACT,BLQ,4146
21841,need assistance notifying of a signup issue,registration_problems,ACCOUNT,BLQ,11822
11788,i dont know how i can delete a premium account,delete_account,ACCOUNT,BLQ,5934
21618,is it possible to report signup errors?,registration_problems,ACCOUNT,BILM,11690
19584,is it possible to earn an article?,place_order,ORDER,BIL,10184
20954,could you help me notify of problems with a sign-up?,registration_problems,ACCOUNT,BILMP,11257
24213,what do i have to do to use the {{Account Type}} profile,switch_account,ACCOUNT,BILQ,13175
12046,can i order from {{Delivery Country}},delivery_options,DELIVERY,BIQS,6012
1231,can I swap some items o order {{Order Number}}?,change_order,ORDER,BILMZ,376
18242,where do I notify of a payment problem?,payment_issue,PAYMENT,BIL,9223
3070,see the early exit penalties,check_cancellation_fee,CANCEL,BLM,1427
18288,can you help me to solve issues with online payment?,payment_issue,PAYMENT,BILM,9245
24826,need assistance to change to the gold account,switch_account,ACCOUNT,BLQ,13350
18871,help to inform of troubles with online payments,payment_issue,PAYMENT,BLM,9001
5377,how do I see the allowed payment methods?,check_payment_methods,PAYMENT,BIL,2506
1250,can uhelp me switching somedthing of order {{Order Number}},change_order,ORDER,BILQZ,387
18482,I want assistance informing of issues with payment,payment_issue,PAYMENT,BLMZ,9325
15400,i need help getting my invoices from {{Person Name}},get_invoice,INVOICE,BLMQ,7616
19555,I have got to acquire several of your article,place_order,ORDER,BLM,9639
6667,help to check in which situations can I ask for refunds,check_refund_policy,REFUND,BL,2976
7538,I need help to file a reclamation against your company,complaint,FEEDBACK,BL,3441
1507,can I add some items to purchase {{Order Number}}?,change_order,ORDER,BILM,507
